#Format:
%Sektion,Bänk,Plats,Sida
Parkett,1,1,Höger
Parkett,1,2,Höger
Parkett,1,3,Höger
Parkett,1,4,Höger
Parkett,1,5,Höger
Parkett,1,6,Höger
Parkett,1,7,Höger
Parkett,1,8,Höger
Parkett,1,9,Höger
Parkett,1,10,Höger
Parkett,1,11,Vänster
Parkett,1,12,Vänster
Parkett,1,13,Vänster
Parkett,1,14,Vänster
Parkett,1,15,Vänster
Parkett,1,16,Vänster
Parkett,1,17,Vänster
Parkett,1,18,Vänster
Parkett,1,19,Vänster
Parkett,1,20,Vänster
Parkett,2,21,Höger
Parkett,2,22,Höger
Parkett,2,23,Höger
Parkett,2,24,Höger
Parkett,2,25,Höger
Parkett,2,26,Höger
Parkett,2,27,Höger
Parkett,2,28,Höger
Parkett,2,29,Höger
Parkett,2,30,Höger
Parkett,2,31,Vänster
Parkett,2,32,Vänster
Parkett,2,33,Vänster
Parkett,2,34,Vänster
Parkett,2,35,Vänster
Parkett,2,36,Vänster
Parkett,2,37,Vänster
Parkett,2,38,Vänster
Parkett,2,39,Vänster
Parkett,2,40,Vänster
Parkett,3,41,Höger
Parkett,3,42,Höger
Parkett,3,43,Höger
Parkett,3,44,Höger
Parkett,3,45,Höger
Parkett,3,46,Höger
Parkett,3,47,Höger
Parkett,3,48,Höger
Parkett,3,49,Höger
Parkett,3,50,Höger
Parkett,3,51,Vänster
Parkett,3,52,Vänster
Parkett,3,53,Vänster
Parkett,3,54,Vänster
Parkett,3,55,Vänster
Parkett,3,56,Vänster
Parkett,3,57,Vänster
Parkett,3,58,Vänster
Parkett,3,59,Vänster
Parkett,3,60,Vänster
Parkett,4,61,Höger
Parkett,4,62,Höger
Parkett,4,63,Höger
Parkett,4,64,Höger
Parkett,4,65,Höger
Parkett,4,66,Höger
Parkett,4,67,Höger
Parkett,4,68,Höger
Parkett,4,69,Höger
Parkett,4,70,Höger
Parkett,4,71,Vänster
Parkett,4,72,Vänster
Parkett,4,73,Vänster
Parkett,4,74,Vänster
Parkett,4,75,Vänster
Parkett,4,76,Vänster
Parkett,4,77,Vänster
Parkett,4,78,Vänster
Parkett,4,79,Vänster
Parkett,4,80,Vänster
Parkett,5,81,Höger
Parkett,5,82,Höger
Parkett,5,83,Höger
Parkett,5,84,Höger
Parkett,5,85,Höger
Parkett,5,86,Höger
Parkett,5,87,Höger
Parkett,5,88,Höger
Parkett,5,89,Höger
Parkett,5,90,Höger
Parkett,5,91,Vänster
Parkett,5,92,Vänster
Parkett,5,93,Vänster
Parkett,5,94,Vänster
Parkett,5,95,Vänster
Parkett,5,96,Vänster
Parkett,5,97,Vänster
Parkett,5,98,Vänster
